Code,Company,City,Country
SNHU,"SINOTRANS CONTAINER LINES CO.,LTD.",SHANGHAI,China
SNIU,STOLT TANK CONTAINERS LEASING LTD,HAMILTON,Bermuda
SNSU,SLOMAN NEPTUNE SCHIFFAHRTS - AG,BREMEN,Germany
SNTU,STOLT TANK CONTAINERS LEASING LTD,HAMILTON,Bermuda
SNUU,SITA TRANSPORT BV,ALPHEN AAN DEN RIJN,Netherlands
SOBU,SOBOLAK INTERNATIONAL GMBH,LEOBENDORF,Austria
SOCU,STAR SERVICE SRL,GENOVA GE,Italy
SOEU,HANG ZHOU ZHE SHANG INDUSTRY TRADING,HANGZHOU,China
SOFU,CMA-CGM,MARSEILLE CEDEX 02,France
SOKU,SICOM S.P.A,CHERASCO (CN),Italy
SOLU,C.T.S SRL,MONZA (MB),Italy
SOMU,SOMAL,LE LAMENTIN CEDEX 2,France
SOSU,STORAGE ON SITE LTD,"Southampton, Hampshire",United Kingdom
SOTU,SOLETANCHE BACHY INTERNATIONAL,Montereau Fault Yonne,France
SOUU,SOUILLAC INDUSTRIES LTD.,Ebene,Mauritius
SOXU,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,Singapore,Singapore
SPBU,SOUTHWEST CONTAINER SOLUTIONS,"Scottsboro, AL 35769",United States
SPCU,SHANGHAI HAI HUA SHIPPING CO LTD,SHANGHAI,China
SPDU,SPEDYCJA POLSKA SPEDCONT SPOLKA ZO.O.,LODZ,Poland
SPEU,CIMC CONTAINERS HOLDING COMPANY LTD,GUANGDONG,China
SPHU,SPHB,ST PIERRE,Reunion
SPIU,SAS SPINDRIFT,Saint Philibert,France
SPKU,SPINNAKER LEASING CORPORATION,"San Francisco, CA 94111-2602",United States
SPLU,SEACO SRL,BRIDGETOWN BB11144,Barbados
SPNU,PT SALAM PACIFIC INDONESIA LINES,SURABAYA,Indonesia
SPPU,SHIVA PHARMACHEM LTD,GUJARAT,India
SPTU,SCHENK-PAPENDRECHT BV,PAPENDRECHT,Netherlands
SPWU,ICS TERMINALS (UK) LIMITED d/b/a SPACEWISE,"RAINHAM, ESSEX RM13 8EU",United Kingdom
SRAU,ENDEL SRA,LILLE CEDEX,France
SRBU,LEIDOS,"LONG BEACH, MS 39560",United States
SRCU,NORDIC BULKERS AB,GOTHENBURG,Sweden
SREU,SARENS NV,WOLVERTEM,Belgium
SRGU,ROSI INVEST A/S,TANAGER,Norway
SRLU,"SUPER RACK CO., LTD",Seoul,"Korea, Republic of"
SRPU,SARP INTERMODAL HIZMETLERI AS,ISTANBUL,Turkey
SRSU,SKYROS MARITIME CORPORATION C/O ANDROS MARITIME AGENCIES LTD,"LONDON, WC1A 1HB",United Kingdom
SRTU,SE.TRA.S. SRL,NARNI SCALO (TR),Italy
SSBU,SPECIALIST SERVICES LLC,DUBAI,United Arab Emirates
SSCU,SHANGHAI SHOWA CHEMICALS CO.LTD,SHANGHAI,China
SSDU,"SASCO INTERNATIONAL SHIPPING CO,LTD",SEOUL,"Korea, Republic of"
SSFU,JSC SAKHALIN SHIPPING COMPANY LT,KHOLMSK,Russian Federation
SSGU,SURGUTNEFTEGAS PJSC,SURGUT,Russian Federation
SSLU,SEA-LAND LOGISTICS ENTERPRISES PTE LTD,Singapore,Singapore
SSMU,AVANA LOGISTEK LIMITED,Mumbai,India
SSRU,SSREEFER-SOLUCOES EM SERVICOS REEFER LTDA,ITAJAI-SANTA CATARINA,Brazil
SSSU,SEA SANDS SHIPPING L.L.C,DUBAI,United Arab Emirates
SSXU,SAMSON SERVICE LLC,Saint-Petersburg,Russian Federation
STBU,STOLT TANK CONTAINERS LEASING LTD,HAMILTON,Bermuda
STCU,FT MARINE SAS,FUVEAU,France
STFU,"""STANDART-F"" LLC",Novorossiysk,Russian Federation
STGU,SHOWA SPECIALTY GAS (TAIWAN) CO LTD,TAIPEI,"Taiwan, China"
STJU,SCHENKER INC.,"Freeport, NY 11520",United States
STKU,SANTOKU CHEMICAL INDUSTRIES CO. LTD,SENDAI,Japan
STLU,SHIPPING TRADING &LIGHTERAGE CO (STALCO),DUBAI,United Arab Emirates
STMU,CMA-CGM,MARSEILLE CEDEX 02,France
STNU,SAMATAINERS,VIENNE CEDEX,France
STRU,SEA STAR LINE LLC,"JACKSONVILLE, FL 32256",United States
STSU,SINOCHEM TRADING (SINGAGPORE) PTE LTD,Singapore,Singapore
STUU,STUBBE B.V.,GOUDA,Netherlands
STVU,SUPERCONSORZIO TRASPORTI LUCANI,Viggiano,Italy
STWU,SETTENTRIONALE TRASPORTI SPA,POSSAGNO (TV),Italy
STXU,STAXXON LLC,MONTCLAIR,United States
SUDU,MAERSK A/S,Copenhagen,Denmark
SUGU,SUPAGAS PTY LTD,VICTORIA,Australia
SUIU,SWISSTERMINAL AG,FRENKENDORF,Switzerland
SUMU,SUMISHO GLOBAL LOGISTICS (CHINA) CO LTD,SHANGHAI,China
SUNU,NICHIRIN GROUP CO,TOKYO,Japan
SUTU,SUTTONS INTERNATIONAL LTD,"WIDNES, CHESHIRE",United Kingdom
SUZU,SUREZING CONTAINER INTERNATIONAL LTD,TORTOLA,"Virgin Islands, British"
SVDU,SAMSKIP MULTIMODAL BV,GENEMUIDEN,Netherlands
SVGU,SWAGEMAKERS INTERMODAAL TRANSPORT,Westdorpe,Netherlands
SVKU,SUOMEN VUOKRAKONTTI OY,RAJAMAKI,Finland
SVMU,SCHAVEMAKER LOGISTICS B.V,BEVERWIJK,Netherlands
SVNU,MINISTRY OF DEFENCE REPUBLIC OF SLOVENIA,LJUBLJANA,Slovenia
SVSU,MLI- MEDITRANNEAN LOGISTICS INVESTIMENTS LTD,NICOSIA,Cyprus
SVWU,CHS CONTAINER HANDEL GMBH,BREMEN,Germany
SWCU,SWISSCONTAINER AG,GWATT,Switzerland
SWEU,DEN HARTOGH LIQUID LOGISTICS BV,ROTTERDAM,Netherlands
SWFU,SWIFT TRANSPORT INTERNATIONAL LOGISTICS PTE .LTD,TIANJIN,China
SWLU,SAMSKIP MCL BV,ROTTERDAM,Netherlands
SWPU,SIEMENS GAMESA,BRANDE,Denmark
SWSU,SWISS WATER POWER INTERNATIONAL S.A.,GENEVE,Switzerland
SWTU,STOLT TANK CONTAINERS LEASING LTD,HAMILTON,Bermuda
SXOU,STELLA EXPRESS (SINGAPORE) PTE LTD,Singapore,Singapore
SXRU,SOLAR EXPRESS LLC,Ulyanovsk,Russian Federation
SXSU,SOLVAY SPECIALTY POLYMERS ITALY SPA,BOLLATE (MI),Italy
SXXU,KIRSEN GLOBAL SECURITY GMBH,Berlin,Germany
SYBU,"JIANGSU XINYUE ASPHALT HI-TECH CO.,LTD",Zhenjiang,China
SYPU,SAMYOUNG PURE CHEMICALS CO LTD,"DONGNAM-GU, CHEONAN-SI","Korea, Republic of"
SZAU,SAFRICAS/ SAFGAZ,KINSHASA,Congo
SZLU,SEACUBE CONTAINERS LLC,"WOODCLIFF LAKE, N.J. 07677",United States
SZRU,LLC SYNTEZRAIL,MOSCOW,Russian Federation
TABU,STOLT TANK CONTAINERS LEASING LTD,HAMILTON,Bermuda
TACU,EAST CIRCLE INVESTMENT COPR,BP 0830-01580,Panama
TAFU,TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES,SAINT PIERRE,France
TAHU,TA ASIA LOGISTICS PTE LTD,Singapore,Singapore
TAIU,STOLT TANK CONTAINERS LEASING LTD,HAMILTON,Bermuda
TALU,ALFRED TALKE GMBH & CO.KG,HURTH,Germany
TANU,TACON GMBH TANK & CONTAINER SERVICES,BRAAK,Germany
TAPU,TOKUYAMA ELECTRONIC CHEMICALS PTE LTD,Singapore,Singapore
TARU,TARROS SPA,LA SPEZIA SP,Italy
TASU,TANKSPAN LEASING LIMITED,SURREY GU8 6BQ,United Kingdom
TATU,TRINIDAD DISTILLERS LTD,LAVENTILLE,Trinidad and Tobago
TAXU,TANK ASSET MANAGEMENT,Rotterdam,Netherlands
TAYU,EUROPEA DE CONTENEDORES S.A. EUCONSA,EL PALMAR - MURCIA,Spain
TBBU,CHINA RAILWAY TIELONG CONTAINER LOG CORP LTD,BEIJING,China
TBEU,"XINJIANG TBEA GROUP LOGISTICS CO.,LTD.",Changji,China
TBGU,CHINA RAILWAY TIELONG CONTAINER LOG CORP LTD,BEIJING,China
TBJU,CHINA RAILWAY CONTAINER TRANSPORT CORP,BEIJING,China
TBKU,TEIJIN LOGISTICS CO LTD,Matsuyama,Japan
TBLU,"CHINA RAILWAY TIELONG CONTAINER LOGISTICS CO., LTD. BEIJING SPECIAL CONTAINER TECHNOLOGY DEVELOPMENT CENTER",DALIAN,China
TBPU,CHINA RAILWAY TIELONG CONTAINER LOG CORP LTD,BEIJING,China
TBSU,TIMBER BUILDING SYSTEMS PTY LTD,Dandenong,Australia
TBUU,TRUE BLUE CONTAINERS (2005) PTY LTD,MIDVALE,Australia
TBXU,BOMAG MARINI EQUIPAMENTOS LTDA,CACHOEIRINHA,Brazil
TCAU,BLUE BALTIC SHIPPING & TRADING LIMITED,LA HABANA,Cuba
TCCU,TANK CONTAINER CLEANING SERVICES S.R.L.,NAPOLI,Italy
TCDU,"JIUJIANG TINCI MATERIALS TECHNOLOGY CO., LTD",JIUJIANG,China
TCEU,TASEK CORPORATION BHD,KUALA LUMPUR,Malaysia
TCGU,TRANSPORTS COTTARD-GLENAT CHIMIE,SALAISE-SUR-SANNE,France
TCHU,TORAN SOLUTION LTD C/O SANTOS CONTAINER LTDA,SAD VICENTE,Brazil
TCIU,TITAN CONTAINERS A/S,TAASTRUP,Denmark
TCKU,TRITON INTERNATIONAL LTD,"PURCHASE, NY 10577",United States
TCLU,TAL INTERNATIONAL,"PURCHASE, NY 10577-2135",United States
TCMU,TCS TRANS S.L.,BARCELONA,Spain
TCNU,TRITON INTERNATIONAL LTD,"PURCHASE, NY 10577",United States
TCOU,JSC TECO,VLADIVOSTOK,Russian Federation
TCSU,TANKCON B.V,SPIJKENISSE,Netherlands
TCTU,TI. CI. TI. SA,BALERNA,Switzerland
TCUU,TRIFLEET LEASING HOLDING B.V.,DORDRECHT,Netherlands
TCVU,TWS TANKCONTAINER-LEASING GMBH & CO KG,Hamburg,Germany
TCXU,TRANSMIT CONTAINERS LTD,ABERDEEN,United Kingdom
TDCU,PT TRADECORP INDONESIA,JAKARTA,Indonesia
TDEU,TDS SHIPPING LLC,Dubai,United Arab Emirates
TDIU,TORANG DARYA SHIPPING CO LTD,TEHRAN,"Iran, Islamic Republic of"
TDLU,TRANS DISTANCE LINE LTD,HONG KONG,HK
TDRU,TAL INTERNATIONAL,"PURCHASE, NY 10577-2135",United States
TDTU,TAL INTERNATIONAL,"PURCHASE, NY 10577-2135",United States
TEAU,TEAKDECKING SYSTEMS INC,"SARASOTA, FL 34243",United States
TECU,TECHNOLOGY INDUSTRIAL GASES PRODUCTION CO,FAHEHEEL,Kuwait
TEDU,AGUNSA-AGENCIA UNIVERSALES S.A,SANTIAGO,Chile
TEEU,CRYO-TEC BVBA,MERKSEM,Belgium
TEGU,PT TEMAS TBK,JAKARTA UTARA,Indonesia
TELU,TRANS EATON INTERNATIONAL ASSET MANAGEMENT COMPANY LIMITED,Hong Kong,HK
TEMU,TEXTAINER EQUIPMENT MANAGEMENT LTD,"HAMILTON, HM HX",Bermuda
TENU,TEXTAINER EQUIPMENT MANAGEMENT LIMITED,"SAN FRANCISCO, CA 94108",United States
TEOU,TRANSGEO LLC (LIMITED LIABILITY COMPANY),Saint-Petersburg,Russian Federation
TERU,TECNIRUTA CONCISA S.A.,SANTURCE VIZCAYA,Spain
TETU,TETRA4 (PTY) LTD,Johannesburg,South Africa
TEXU,TEXTAINER EQUIPMENT MANAGEMENT LTD,"HAMILTON, HM HX",Bermuda
TFCU,FAGIOLI SPA,REGGIO EMILIA,Italy
TFEU,TRANSFENNICA LTD,HELSINKI,Finland
TFGU,DB CARGO AG,MAINZ,Germany
TFHU,DHL FLEET SUPPORT ENGINEER,Widnes (Cheshire),United Kingdom
TFMU,TFM,VLADIVOSTOK,Russian Federation
TFRU,CONTENEDORES TEIFER,LLEIDA,Spain
TFTU,TANKFORMATOR (S) PTE LTD,Singapore,Singapore
TGAU,TECHGLASS SP. ZOO.,KRAKOW,Poland
TGBU,TEXTAINER EQUIPMENT MANAGEMENT LTD,"HAMILTON, HM HX",Bermuda
TGCU,TOUAX,LA DEFENSE,France
TGEU,TAIWAN SPECIAL CHEMICALS CORPORATION,CHANGHUA COUNTY,"Taiwan, China"
TGGU,TIGER GAS (SHANGHAI) LIMITED,SHANGHAI,China
TGHU,TEXTAINER EQUIPMENT MANAGEMENT LTD,"HAMILTON, HM HX",Bermuda
TGIU,TAEWOONG LOGISTICS CO.LTD,SEOUL,"Korea, Republic of"
TGLU,TLS LOJISTIK A.S,ISTANBUL,Turkey
TGPU,GENSETPOOL,Woodbridge,United States
TGRU,SPECTRANSGARANT LLC,MOSCOW,Russian Federation
TGSU,TOUAX CONTAINER LEASING PTE LTD,Singapore,Singapore
TGTU,NINGBO TRANSOCEAN GLOBAL TRANSPORTATION CORP.LTD,NINGBO,China
TGVU,LOGIX CAPITAL LLC,DORAL,United States
THAU,"CHONGQING TONGHUI GAS CO., LTD.",Chongqing,China
THBU,CONT-ASPHALT LTD.,LA CROIX (LUTRY),Switzerland
THEU,THERMOCAR SRL ITALIA,GENOVA GE,Italy
THGU,BEIJING TIANHAI CRYOGENIC EQUIPMENT CO. LTD.,Beijing,China
THIU,THIELMANN FINANCIAL SOLUTIONS AG,Zug,Switzerland
THJU,"SHENZHEN TEHUAJIAN ADAMANTITE STRUCTURE MANUFACTURING CO., LTD.",Shenzhen,China
THKU,TANK-CONTAINER PETROCHEMICAL COMPANY LTD,Moscow,Russian Federation
THPU,ITALMATCH CHEMICALS S.P.A.,GENOVA (GE),Italy
THQU,"THOR QUIMICOS DE MEXICO, SA DE CV",QUERETARO,Mexico
THSU,"TRADING HOUSE ""SINTEZ-OIL"", LTD",Dzerzhinsk,Russian Federation
THYU,THIJSSEN DRILLING COMPANY BV,GEULLE,Netherlands
TIBU,TACON GMBH TANK & CONTAINER SERVICES,BRAAK,Germany
TICU,LIVERANI GROUP SPA,SANTA MARIA DI ZEVIO (VR),Italy
TIFU,TRIFLEET LEASING HOLDING B.V.,DORDRECHT,Netherlands
TIHU,TRADECORP INTERNATIONAL HONG KONG LIMITED,HONG KONG,HK
TIIU,TRITON INTERNATIONAL LTD,"PURCHASE, NY 10577",United States
TILU,TEC CONTAINER SOLUTIONS,"WORTHING, WEST SUSSEX",United Kingdom
TIMU,ALPSANNA LIMITED,Dublin,Ireland
TIOU,ONET TECHNOLOGIES TI,MARSEILLE CEDEX 09,France
TIPU,TIP TRAILER SERVICES MANAGEMENT B.V.,Amsterdam,Netherlands
TISU,TRANSPORT INDUSTRIAL SERVICE (TIS) LTD,ST PETERSBURG,Russian Federation
TITU,TITAN CONTAINERS A/S,TAASTRUP,Denmark
TIUU,TACQUET INDUSTRIES,CARVIN,France
TIVU,TRANSINSULAR CABO VERDE,PRAIA,Cape Verde
TJZU,"HANGZHOU TIEJI FREIGHT CO., LTD",HANGZHOU,China
TKCU,CONSERT S.R.L.,TRUCCAZZANO,Italy
TKIU,"TOM KRAEMER, INC.","Cold Spring, MN 56320",United States
TKKU,TRUKAI INDUSTRIES LTD,Lae,Papua New Guinea
TKMU,TANKMASTER LTD,Novosaratovka,Russian Federation
TKNU,THERMO KING TRANSPORT KOELING B.V.,ROTTERDAM,Netherlands
TKRU,PJSC TRANSCONTAINER,MOSCOW,Russian Federation
TLCU,UNIFEEDER A/S,GDYNIA,Poland
TLEU,HAPAG LLOYD A.G,HAMBURG,Germany
TLFU,NUROL TEKNOLOJI SAN. VE MAD. TIC. A.S.,ANKARA,Turkey
TLIU,"TRANSPORT LOGISTICS INTERNATIONAL, INC","FULTON, MD 20759",United States
TLLU,TAL INTERNATIONAL,"PURCHASE, NY 10577-2135",United States
TLNU,TRIDENT CONTAINER LEASING BV,AMSTERDAM,Netherlands
TLOU,TANKLOG GMBH & CO KG,MANNHEIM,Germany
TLSU,"LLC ""TRANSPORT LOGISTICS SYSTEMS""",Novosibirsk,Russian Federation
TLVU,LLC «TIS-LOGISTIC»,Vladivostok,Russian Federation
TLXU,TRANS ASIAN SHIPPING SERVICES (P) LTD.,COCHIN,India
TMBU,TAMBOUR LTD.,AKKO,Israel
TMCU,TRANSMAR SHIPPING COMPANY,CAIRO,Egypt
TMDU,CARIBBEAN GAS CHEMICAL LIMITED (CGCL),Port of Spain,Trinidad and Tobago
TMEU,TOMOESHOKAI CO; LTD,TOKYO,Japan
TMHU,TRIMODAL EUROPE B.V,HOOGVLIET / RT,Netherlands
TMIU,TRIFLEET LEASING HOLDING B.V.,DORDRECHT,Netherlands
TMKU,ES AT-ABRAY,Ashgabat,Turkmenistan
TMLU,EUROTAINER SA,Rotterdam,Netherlands
TMMU,HAPAG LLOYD A.G,HAMBURG,Germany
TMPU,T.M.P TRANS MODAL,NEUILLY S/SEINE,France
TMTU,GCATAINER BV,MOERDIJK,Netherlands
TMUU,FUH TOMASZ PROKORYM,Olsztyn,Poland
TMWU,VERBIO LOGISTIK GMBH,SCHWEDT,Germany
TMYU,TRANSINSULAR,LISBOA,Portugal
TNAU,TIONG NAM LOGISTICS SOLUTIONS SDN BHD,SHAH ALAM,Malaysia
TNCU,TAIYO NIPPON SANSO CORPORATION,TOKYO,Japan
TNDU,TCI SUPPLY CHAIN SOLUTIONS,"GURGAON, HARYANA",India
TNFU,TANFAC INDUSTRIES LTD,CUDDALORE / TAMILNADU,India
TNIU,TN AMERICAS LLC,"COLUMBIA, MD-21045",United States
TNKU,TANKONE B.V.,ROTTERDAM,Netherlands
TNMU,TRANSPORTATION COMPANY TRANS MERIDIAN,MOSCOW,Russian Federation
TNOU,TANCO INTERNATIONAL (97) LTD.,HAIFA,Israel
TNPU,ORANO TN INTERNATIONAL,VALOGNES,France
TNRU,TECHNOAZOT R&P LTD,Moscow,Russian Federation
TNSU,UNICO LOGISTICS CO LTD,SEOUL,"Korea, Republic of"
TNZU,QUARTZ ENTERPRISES LTD,BELIZE CITY,Belize
TOAU,"TOAGOSEI CO., LTD.",TOKYO,Japan
TOEU,TRANSOCEAN EQUIPMENT MANAGEMENT LLC,Little Rock,United States
TOIU,GRANDS TRAVAUX DE LOCEAN INDIEN (GTOI),LE PORT - LA REUNION,France
TOLU,TAL INTERNATIONAL,"PURCHASE, NY 10577-2135",United States
TONU,TANK ONE NV,Antwerpen,Belgium
TOPU,TOPTAINER CONTAINERMANAGEMENT & SALES GMBH,HAMBURG,Germany
TORU,MAERSK A/S,Copenhagen,Denmark
TOTU,SERVIZI LOGISTICI INTEGRATI S.R.L,SORA (FR),Italy
TPCU,WAN HAI LINES LTD,TAIPEI,"Taiwan, China"
TPFU,TPCO DEMOLITION,Saint-Maurice-la-Clouère,France
TPHU,TAL INTERNATIONAL,"PURCHASE, NY 10577-2135",United States
TPKU,TRANSPEK INDUSTRY LIMITED,VADODARA,India
TPMU,EXSIF WORLDWIDE,"PURCHASE, NY 10577",United States
TPRU,TROPIGAS DE PUERTO RICO INC.,BAYAMON,Porto Rico
TPSU,BASF TAIWAN LIMITED,TAIPEI,"Taiwan, China"
TPTU,EXSIF WORLDWIDE,"PURCHASE, NY 10577",United States
TPXU,TAL INTERNATIONAL,"PURCHASE, NY 10577-2135",United States
TQMU,INTERMODAL TANK TRANSPORT INC.,"HOUSTON,TX 77064",United States
TQRU,TRANSPORTES QUIMICOS RAMIREZ SL,SANLUCAR LA MAYOR-SEVILLA,Spain
TRDU,TAL INTERNATIONAL,"PURCHASE, NY 10577-2135",United States
TREU,TRIEST AG GROUP INC,TIFTON,United States
TRGU,TRIGAS EXPORT CA,CARACAS,"Venezuela, Bolivarian Republic of"
TRHU,TRITON INTERNATIONAL LTD,"PURCHASE, NY 10577",United States
TRIU,TRITON INTERNATIONAL LTD,"PURCHASE, NY 10577",United States
TRKU,TURKON CONTAINER TRANSPORTATION&SHIPPING,ISTANBUL,Turkey
TRLU,TAL INTERNATIONAL,"PURCHASE, NY 10577-2135",United States
TRMU,TARIMSAL KIMYA A.S.,ISTANBUL,Turkey
TRNU,TRANSNET SA,PIRAEUS,Greece
TROU,FELIX TROLL TRANSPORT GMBH,IMST,Austria
TRPU,TROPICAL TRAILER LEASING LLC,"MIAMI, FL-33178",United States
TRRU,TRANSPORT RESOURCES INC.,"MATAWAN, NJ 07747",United States
TRSU,FEDERTRASPORTI SPA,CASTELMAGGIORE (BO),Italy
TRTU,CARU CONTAINERS BV,ROTTERDAM,Netherlands
TRUU,TRISTAR ENGINNERING CONSULTING LOGISTIC SA,CHIASSO,Switzerland
TRVU,TRITON INTERNATIONAL LTD,"PURCHASE, NY 10577",United States
TSAU,TRISTAR CONTAINER SERVICES (ASIA) PVT. LTD.,CHENNAI,India
TSCU,TRANS-SERVICE-1 LLC,Lviv,Ukraine
TSDU,TATIANA TSIBIKOVA,St Petersburg,Russian Federation
TSEU,TOP SPEED ENERGY OVERSEA CORP LIMITED,WANCHAI,HK
TSFU,SOULBRAIN CORP,GYEONGGI-DO,"Korea, Republic of"
TSGU,VENTURA TRADING LTD,"HAMILTON, HM",Bermuda
TSHU,TSB Brasil Ltda – ME,Curitiba,Brazil
TSIU,STSI,GONESSE,France
TSKU,ESK SA,ALBUIXECH VALENCIA,Spain
TSLU,TCI SEAWAYS A DIVISION OF TRANSPORT CORPORATION OF INDIA LTD,CHENNAI,India
TSPU,TIPES S.P.A,OLGIATE MOLGORA,Italy
TSSU,T.S. LINES LTD,TAIPEI,"Taiwan, China"
TSTU,T.S. LINES LTD,TAIPEI,"Taiwan, China"
TSVU,SHIPPING COMPANY TRANSIT SV LLC,KRASNOYARSK,Russian Federation
TTAU,TRET SRL,Sesto Fiorentino,Italy
TTBU,EQUIPPED4U BV,Roosendaal,Netherlands
TTEU,TEAMTEC AS,TVEDESTRAND,Norway
TTIU,"MASTERS GLOBAL LOGISTICS, INC.",SEOUL,"Korea, Republic of"
TTKU,TRISTAR TRANSPORT LLC,Dubai,United Arab Emirates
TTLU,TOTAL LOGISTICS LTD,Birzebbugia,Malta
TTMU,TITAN MED SARL,Monaco,Monaco
TTNU,TRITON INTERNATIONAL LTD,"PURCHASE, NY 10577",United States
TTOU,TOTAL CONTAINERS PTY LTD,Wattleup,Australia
TTSU,LLC TRADETRANS,Novosibirsk,Russian Federation
TTTU,EUROTAINER SA,Rotterdam,Netherlands
TTUU,TRANSTEC LTD,KOLOMNA-MOSCOW REGION,Russian Federation
TUCU,TUCABI CONTAINER S.L.,ERANDIO,Spain
TUFU,TRANSUNIVERSE FORWARDING NV,Wondelgem,Belgium
TUKU,THALES UK,"Templecombe, Somerset",United Kingdom
TULU,CONTAINER SOLUTIONS S.A DE C.V,MEXICO,Mexico
TUTU,SHIPPING CONTAINER CONSULTANTS LTD,Hitcham Suffolk,United Kingdom
TVOU,TRANSPORT VAN OVERVELD BV,Etten Leur,Netherlands
TVRU,LLC TRANSSERVICE,Vologda,Russian Federation
TVTU,TESVOLT GMBH,Lutherstadt Wittenberg,Germany
TWAU,TAYLOR-WHARTON AMERICA INC,"BAYTOWN,TX",United States
TWCU,THRU-WORLD COMPANY LIMITED,Hong Kong,HK
TWMU,4TESS SP. Z.O.O,SOPOT,Poland
TWPU,TROPICAL WESTERN PACIFIC PROGRAM OFFICE,"LOS ALAMOS, NM 87545",United States
TWRU,TANKWAY BV,Zevenbergen,Netherlands
TWSU,TWS TANKCONTAINER-LEASING GMBH & CO KG,Hamburg,Germany
TWWU,TURKMEN AK YOL,Ashgabat,Turkmenistan
TXGU,TEXTAINER EQUIPMENT MANAGEMENT LTD,"HAMILTON, HM HX",Bermuda
TXWU,"SHANGHAI ACE INVESTMENT & DEVELOPMENT CO., LTD.",Shanghai,China
TXXU,TRIDENT SEAFOODS CORP,"SEATTLE, WA 98107-4000",United States
TYCU,"TOKUYAMA CHEMICALS (ZHEJIANG) CO.,LTD",Jiaxing,China
TYRU,CRS REFRIGERATION LTD,MEATH,Ireland
TYSU,"MITSUBISHI CHEMICAL TAIWAN Co., LTD",HSIN-CHU,"Taiwan, China"
TZKU,SUMISEI TAIWAN TECHNOLOGY CO LTD,CHANGHUA COUNTY,"Taiwan, China"
TZRU,TAZZETTI S.P.A.,Volpiano,Italy
UAAU,MOBIUS-GROUPPE EOOD,Sofia,Bulgaria
UACU,HAPAG LLOYD A.G,HAMBURG,Germany
UAEU,HAPAG LLOYD A.G,HAMBURG,Germany
UAFU,UAFL UNITED AFRICA FEEDER LINE,MAPOU,Mauritius
UAKU,ALARA LOGISTICS,Humble,United States
UASU,HAPAG LLOYD A.G,HAMBURG,Germany
UBBU,DEN HARTOGH DRY BULK LOGISTICS LTD,"Hull, HU3 4AE",United Kingdom
UBTU,INTERNATIONAL FREIGHT FORWARDING CENTRE OF ULAANBAATAR,Ulaanbaatar,Mongolia
UCCU,LLC UNIVERSAL CONTAINER COMPANY 1520,St. Petersburg,Russian Federation
UCLU,OCEAN AFRICA CONTAINER LINE (PTY) LTD,DURBAN,South Africa
UCSU,UNIVERSAL CONTAINER SERVICES LIMITED,"IRLAM, MANCHESTER",United Kingdom
UENU,U-EN CORPORATION,"CHUO-KU, KOBE",Japan
UESU,UES INTERNATIONAL (HK) HOLDINGS LIMITED,SHANGHAI,China
UETU,UES INTERNATIONAL (HK) HOLDINGS LIMITED,SHANGHAI,China
UFCU,SEACO SRL,BRIDGETOWN BB11144,Barbados
UGCU,UNIPER GLOBAL COMMODITIES SE,Düsseldorf,Germany
UGMU,GREENCOMPASS MARINE S.A.,,Panama
UGNU,UMDASCH GROUP NEWCON,Amstetten,Austria
UGPU,ROZA MIRA LLC,Moscow,Russian Federation
UHMU,HIMMAGISTRAL LTD,UGREN,Russian Federation
UKRU,SETTI,SYNYAVA,Ukraine
ULCU,UNICO LOGISTICS CO LTD,SEOUL,"Korea, Republic of"
ULTU,ACE ENGINEERING CO LTD,SEOUL,"Korea, Republic of"
UMJU,AS CONTAINERHANDEL & SERVICE GMBH,Berne,Germany
UMLU,SMART BULK TERMINAL LIMITED LIABILITY COMPANY,,Russian Federation
UMTU,ULTRAMAR LTD,RIGA,Latvia
UNCU,UNI-LOGISTICS SP. Z O.O.,GDYNIA,Poland
UNDU,UNITAINER TRADING GMBH,HAMBURG,Germany
UNIU,UNITAS CONTAINERS LIMITED,HAMILTON,Bermuda
UNLU,NAMMA SHIPPING LINES (NSL),ALEXANDRIA,Egypt
UNOU,MALTHUS UNITEAM AS,SKEDSMOKORSET,Norway
UNXU,UNITAS CONTAINERS LIMITED,HAMILTON,Bermuda
UPAU,KMG ULTRA PURE CHEMICALS LIMITED,ALFRETON DE55 4DA,United Kingdom
UPLU,"UPLINE CZ, S.R.O.",JINOCANY,Czech Republic
UREU,URENCO LTD,BAD BENTHEIN,Germany
URFU,EUROTRANS LOGISTICS LLC,Yekaterinburg,Russian Federation
USAU,UNITED STATES ARMY,"SCOTT AFB, IL-62225-5006",United States
USFU,UNITED STATES AIR FORCE,"WRIGHT-PATTERSON AFB, OH-45433",United States
USGU,MILITARY SDDC,Scott AFB,United States
USMU,UNITED STATES MARINE CORPS,"ALBANY, GA-31704",United States
USNU,UNITED STATES NAVY,"NORFOLK, VA-23511-3492",United States
USPU,EXSIF WORLDWIDE,"PURCHASE, NY 10577",United States
UTCU,STOLT TANK CONTAINERS LEASING LTD,HAMILTON,Bermuda
UTKU,"UNITEK SOLVENT SERVICES, INC","KAPOLEI, HI 96707",United States
UTOU,EDF,MONTEVRAIN,France
UTTU,DEN HARTOGH GLOBAL BV,ROTTERDAM,Netherlands
UUUU,ELBTAINER TRADING GMBH,Barsbüttel,Germany
